Aug 19 17:10:04 smarty run.sh[918640]: 0.58.117.513 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
Aug 19 17:10:04 smarty run.sh[918640]: 0.58.117.934 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
Aug 19 17:10:07 smarty run.sh[918640]: 1.01.522.194 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.12, t =   3.30 s / 3100.56 tokens per second
Aug 19 17:10:08 smarty run.sh[918640]: 1.02.237.622 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.15, t =   4.02 s / 3060.26 tokens per second
Aug 19 17:10:09 smarty run.sh[918640]: 1.02.964.902 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.17, t =   4.74 s / 3023.79 tokens per second
Aug 19 17:10:09 smarty run.sh[918640]: 1.03.707.202 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.20, t =   5.48 s / 2989.40 tokens per second
Aug 19 17:10:10 smarty run.sh[918640]: 1.04.462.965 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.22, t =   6.23 s / 2956.58 tokens per second
Aug 19 17:10:11 smarty run.sh[918640]: 1.05.232.384 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.24, t =   7.00 s / 2925.13 tokens per second
Aug 19 17:10:12 smarty run.sh[918640]: 1.06.015.010 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.27, t =   7.78 s / 2894.94 tokens per second
Aug 19 17:10:12 smarty run.sh[918640]: 1.06.812.289 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.29, t =   8.58 s / 2865.37 tokens per second
Aug 19 17:10:13 smarty run.sh[918640]: 1.07.624.051 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.32, t =   9.39 s / 2836.53 tokens per second
Aug 19 17:10:13 smarty run.sh[918640]: 1.07.822.647 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27126, progress = 0.32, t =   9.62 s / 2820.76 tokens per second
Aug 19 17:10:14 smarty run.sh[918640]: 1.08.719.608 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  29174, progress = 0.35, t =  10.48 s / 2784.59 tokens per second
Aug 19 17:10:15 smarty run.sh[918640]: 1.09.565.535 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  31222, progress = 0.37, t =  11.32 s / 2757.61 tokens per second
Aug 19 17:10:16 smarty run.sh[918640]: 1.10.438.121 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  33270, progress = 0.40, t =  12.19 s / 2729.28 tokens per second
Aug 19 17:10:17 smarty run.sh[918640]: 1.11.336.723 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  35318, progress = 0.42, t =  13.09 s / 2698.90 tokens per second
Aug 19 17:10:18 smarty run.sh[918640]: 1.12.265.286 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  37366, progress = 0.45, t =  14.01 s / 2667.07 tokens per second
Aug 19 17:10:19 smarty run.sh[918640]: 1.13.219.353 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  39414, progress = 0.47, t =  14.96 s / 2634.46 tokens per second
Aug 19 17:10:20 smarty run.sh[918640]: 1.14.195.955 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  41462, progress = 0.50, t =  15.93 s / 2602.00 tokens per second
Aug 19 17:10:21 smarty run.sh[918640]: 1.15.192.682 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43510, progress = 0.52, t =  16.93 s / 2570.33 tokens per second
Aug 19 17:10:22 smarty run.sh[918640]: 1.16.207.352 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45558, progress = 0.54, t =  17.94 s / 2539.47 tokens per second
Aug 19 17:10:23 smarty run.sh[918640]: 1.17.237.797 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47606, progress = 0.57, t =  18.97 s / 2509.75 tokens per second
Aug 19 17:10:24 smarty run.sh[918640]: 1.18.287.288 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49654, progress = 0.59, t =  20.01 s / 2480.87 tokens per second
Aug 19 17:10:25 smarty run.sh[918640]: 1.19.354.492 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  51702, progress = 0.62, t =  21.08 s / 2452.77 tokens per second
Aug 19 17:10:26 smarty run.sh[918640]: 1.20.439.805 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  53750, progress = 0.64, t =  22.16 s / 2425.27 tokens per second
Aug 19 17:10:27 smarty run.sh[918640]: 1.21.544.143 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  55798, progress = 0.67, t =  23.26 s / 2398.48 tokens per second
Aug 19 17:10:28 smarty run.sh[918640]: 1.22.667.664 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  57846, progress = 0.69, t =  24.38 s / 2372.20 tokens per second
Aug 19 17:10:29 smarty run.sh[918640]: 1.23.811.274 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  59894, progress = 0.72, t =  25.52 s / 2346.60 tokens per second
Aug 19 17:10:31 smarty run.sh[918640]: 1.24.970.718 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  61942, progress = 0.74, t =  26.68 s / 2321.48 tokens per second
Aug 19 17:10:32 smarty run.sh[918640]: 1.26.148.690 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  63990, progress = 0.76, t =  27.86 s / 2297.05 tokens per second
Aug 19 17:10:33 smarty run.sh[918640]: 1.27.350.054 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  66038, progress = 0.79, t =  29.05 s / 2273.04 tokens per second
Aug 19 17:10:34 smarty run.sh[918640]: 1.28.565.630 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  68086, progress = 0.81, t =  30.27 s / 2249.41 tokens per second
Aug 19 17:10:35 smarty run.sh[918640]: 1.29.802.212 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  70134, progress = 0.84, t =  31.50 s / 2226.34 tokens per second
Aug 19 17:10:37 smarty run.sh[918640]: 1.31.056.991 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  72182, progress = 0.86, t =  32.75 s / 2203.72 tokens per second
