Aug 19 18:16:52 smarty run.sh[952418]: 0.24.891.560 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
Aug 19 18:16:52 smarty run.sh[952418]: 0.24.891.997 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
Aug 19 18:16:55 smarty run.sh[952418]: 0.28.351.466 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.12, t =   3.36 s / 3049.33 tokens per second
Aug 19 18:16:56 smarty run.sh[952418]: 0.29.080.682 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.15, t =   4.08 s / 3008.47 tokens per second
Aug 19 18:16:57 smarty run.sh[952418]: 0.29.824.321 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.17, t =   4.83 s / 2971.03 tokens per second
Aug 19 18:16:58 smarty run.sh[952418]: 0.30.580.832 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.20, t =   5.58 s / 2936.23 tokens per second
Aug 19 18:16:58 smarty run.sh[952418]: 0.31.351.790 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.22, t =   6.35 s / 2903.25 tokens per second
Aug 19 18:16:59 smarty run.sh[952418]: 0.32.136.543 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.24, t =   7.13 s / 2871.75 tokens per second
Aug 19 18:17:00 smarty run.sh[952418]: 0.32.936.604 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.27, t =   7.93 s / 2841.29 tokens per second
Aug 19 18:17:01 smarty run.sh[952418]: 0.33.750.641 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.29, t =   8.74 s / 2811.53 tokens per second
Aug 19 18:17:02 smarty run.sh[952418]: 0.34.579.984 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.32, t =   9.57 s / 2782.65 tokens per second
Aug 19 18:17:02 smarty run.sh[952418]: 0.34.782.686 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27126, progress = 0.32, t =   9.80 s / 2767.25 tokens per second
Aug 19 18:17:03 smarty run.sh[952418]: 0.35.699.119 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  29174, progress = 0.35, t =  10.68 s / 2731.11 tokens per second
Aug 19 18:17:04 smarty run.sh[952418]: 0.36.563.159 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  31222, progress = 0.37, t =  11.55 s / 2704.24 tokens per second
Aug 19 18:17:04 smarty run.sh[952418]: 0.37.453.276 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  33270, progress = 0.40, t =  12.43 s / 2676.26 tokens per second
Aug 19 18:17:05 smarty run.sh[952418]: 0.38.373.818 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  35318, progress = 0.42, t =  13.35 s / 2645.88 tokens per second
Aug 19 18:17:06 smarty run.sh[952418]: 0.39.324.208 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  37366, progress = 0.45, t =  14.29 s / 2614.01 tokens per second
Aug 19 18:17:07 smarty run.sh[952418]: 0.40.301.933 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  39414, progress = 0.47, t =  15.27 s / 2581.45 tokens per second
Aug 19 18:17:08 smarty run.sh[952418]: 0.41.301.645 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  41462, progress = 0.50, t =  16.26 s / 2549.26 tokens per second
Aug 19 18:17:09 smarty run.sh[952418]: 0.42.321.036 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43510, progress = 0.52, t =  17.28 s / 2517.82 tokens per second
Aug 19 18:17:10 smarty run.sh[952418]: 0.43.359.589 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45558, progress = 0.54, t =  18.32 s / 2487.24 tokens per second
Aug 19 18:17:11 smarty run.sh[952418]: 0.44.415.902 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47606, progress = 0.57, t =  19.37 s / 2457.61 tokens per second
Aug 19 18:17:12 smarty run.sh[952418]: 0.45.490.798 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49654, progress = 0.59, t =  20.44 s / 2428.90 tokens per second
Aug 19 18:17:14 smarty run.sh[952418]: 0.46.585.421 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  51702, progress = 0.62, t =  21.53 s / 2400.88 tokens per second
Aug 19 18:17:15 smarty run.sh[952418]: 0.47.698.105 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  53750, progress = 0.64, t =  22.64 s / 2373.61 tokens per second
Aug 19 18:17:16 smarty run.sh[952418]: 0.48.830.086 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  55798, progress = 0.67, t =  23.77 s / 2347.00 tokens per second
Aug 19 18:17:17 smarty run.sh[952418]: 0.49.982.183 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  57846, progress = 0.69, t =  24.92 s / 2320.99 tokens per second
Aug 19 18:17:18 smarty run.sh[952418]: 0.51.153.614 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  59894, progress = 0.72, t =  26.09 s / 2295.64 tokens per second
Aug 19 18:17:19 smarty run.sh[952418]: 0.52.344.065 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  61942, progress = 0.74, t =  27.28 s / 2270.72 tokens per second
Aug 19 18:17:20 smarty run.sh[952418]: 0.53.552.888 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  63990, progress = 0.76, t =  28.48 s / 2246.46 tokens per second
Aug 19 18:17:22 smarty run.sh[952418]: 0.54.780.812 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  66038, progress = 0.79, t =  29.71 s / 2222.67 tokens per second
Aug 19 18:17:23 smarty run.sh[952418]: 0.56.027.755 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  68086, progress = 0.81, t =  30.95 s / 2199.52 tokens per second
Aug 19 18:17:24 smarty run.sh[952418]: 0.57.296.713 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  70134, progress = 0.84, t =  32.22 s / 2176.68 tokens per second
Aug 19 18:17:26 smarty run.sh[952418]: 0.58.584.936 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  72182, progress = 0.86, t =  33.51 s / 2154.28 tokens per second
Aug 19 18:17:27 smarty run.sh[952418]: 0.59.893.398 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  74230, progress = 0.89, t =  34.81 s / 2132.35 tokens per second
Aug 19 18:17:28 smarty run.sh[952418]: 1.01.220.969 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  76278, progress = 0.91, t =  36.14 s / 2110.81 tokens per second
Aug 19 18:17:30 smarty run.sh[952418]: 1.02.570.528 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  78326, progress = 0.94, t =  37.48 s / 2089.66 tokens per second
Aug 19 18:17:31 smarty run.sh[952418]: 1.03.940.377 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  80374, progress = 0.96, t =  38.85 s / 2068.87 tokens per second
Aug 19 18:17:32 smarty run.sh[952418]: 1.05.330.139 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  82422, progress = 0.98, t =  40.24 s / 2048.42 tokens per second
Aug 19 18:17:33 smarty run.sh[952418]: 1.05.898.377 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  83212, progress = 0.99, t =  40.89 s / 2034.79 tokens per second
Aug 19 18:17:33 smarty run.sh[952418]: 1.06.378.896 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  83724, progress = 1.00, t =  41.35 s / 2024.81 tokens per second
Aug 19 18:17:37 smarty run.sh[952418]: 1.09.578.512 I slot print_timing: id  0 | task 0 | n_gen =    234, tg =  77.33 t/s, tg_3s =  77.66 t/s
Aug 19 18:17:40 smarty run.sh[952418]: 1.12.599.253 I slot print_timing: id  0 | task 0 | n_gen =    480, tg =  79.39 t/s, tg_3s =  81.44 t/s
Aug 19 18:17:43 smarty run.sh[952418]: 1.15.627.634 I slot print_timing: id  0 | task 0 | n_gen =    749, tg =  82.54 t/s, tg_3s =  88.83 t/s
Aug 19 18:17:46 smarty run.sh[952418]: 1.18.640.947 I slot print_timing: id  0 | task 0 | n_gen =   1035, tg =  85.63 t/s, tg_3s =  94.91 t/s
Aug 19 18:17:49 smarty run.sh[952418]: 1.21.645.589 I slot print_timing: id  0 | task 0 | n_gen =   1246, tg =  82.56 t/s, tg_3s =  70.22 t/s
Aug 19 18:17:52 smarty run.sh[952418]: 1.24.652.965 I slot print_timing: id  0 | task 0 | n_gen =   1501, tg =  82.93 t/s, tg_3s =  84.79 t/s
Aug 19 18:17:55 smarty run.sh[952418]: 1.27.670.787 I slot print_timing: id  0 | task 0 | n_gen =   1721, tg =  81.50 t/s, tg_3s =  72.90 t/s
Aug 19 18:17:58 smarty run.sh[952418]: 1.30.692.096 I slot print_timing: id  0 | task 0 | n_gen =   2007, tg =  83.15 t/s, tg_3s =  94.66 t/s
Aug 19 18:18:01 smarty run.sh[952418]: 1.33.695.031 I slot print_timing: id  0 | task 0 | n_gen =   2256, tg =  83.12 t/s, tg_3s =  82.92 t/s
Aug 19 18:18:02 smarty run.sh[952418]: 1.34.599.961 I slot print_timing: id  0 | task 0 | prompt eval time =   41673.43 ms / 83728 tokens (    0.50 ms per token,  2009.15 tokens per second)
