0.00.365.356 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.455.376 I srv    load_model: loading model 'unsloth/Qwen3.8-27B-GGUF:UD-Q4_K_XL'
0.04.161.765 I cmn          init: llama threadpool init, n_threads = 32
0.04.202.113 I common_speculative_init_result: creating MTP draft context against the target model '/home/francip/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.04.294.159 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.04.294.161 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.04.294.161 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.04.487.892 I srv    load_model: loaded multimodal model, '/home/francip/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/mmproj-BF16.gguf'
0.04.519.721 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.04.602.647 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.602.653 I srv  llama_server: model loaded
0.04.602.655 I srv  llama_server: listening on http://0.0.0.0:2053
1.15.738.090 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.15.738.562 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.19.118.260 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.09, t =   3.28 s / 3122.42 tokens per second
1.19.828.747 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.11, t =   3.99 s / 3081.47 tokens per second
1.20.553.087 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.13, t =   4.71 s / 3043.85 tokens per second
1.21.290.721 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.15, t =   5.44 s / 3009.14 tokens per second
1.22.042.117 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.16, t =   6.19 s / 2975.75 tokens per second
1.22.807.911 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.18, t =   6.96 s / 2943.53 tokens per second
1.23.588.230 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.20, t =   7.73 s / 2912.53 tokens per second
1.24.381.710 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.22, t =   8.53 s / 2882.32 tokens per second
1.25.190.926 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.24, t =   9.33 s / 2852.61 tokens per second
1.25.382.693 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27100, progress = 0.24, t =   9.56 s / 2834.54 tokens per second
1.25.529.537 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27227, progress = 0.24, t =   9.77 s / 2786.96 tokens per second
1.26.352.771 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  29275, progress = 0.26, t =  10.49 s / 2791.03 tokens per second
1.27.200.126 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  31323, progress = 0.28, t =  11.34 s / 2763.03 tokens per second
1.28.074.630 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  33371, progress = 0.30, t =  12.21 s / 2733.85 tokens per second
1.28.975.329 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  35419, progress = 0.31, t =  13.10 s / 2702.96 tokens per second
1.29.903.711 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  37467, progress = 0.33, t =  14.03 s / 2670.84 tokens per second
1.30.858.362 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  39515, progress = 0.35, t =  14.98 s / 2638.08 tokens per second
1.31.833.955 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  41563, progress = 0.37, t =  15.95 s / 2605.54 tokens per second
1.32.828.851 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43611, progress = 0.39, t =  16.94 s / 2573.86 tokens per second
1.33.843.066 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45659, progress = 0.40, t =  17.95 s / 2542.99 tokens per second
