0.00.369.337 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.457.061 I srv    load_model: loading model 'unsloth/Qwen3.8-27B-GGUF:UD-Q4_K_XL'
0.00.684.289 E llama_init_from_model: failed to initialize the context: dflash requires ctx_other to be set (this warning is normal during memory fitting)
0.00.710.780 W srv    load_model: [spec] failed to measure draft model memory: failed to create llama_context from model
0.01.161.691 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.01.161.695 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.01.161.699 W model has unused tensor blk.64.attn_q.weight (size = 43253760 bytes) -- ignoring
0.01.161.701 W model has unused tensor blk.64.attn_k.weight (size = 3604480 bytes) -- ignoring
0.01.161.702 W model has unused tensor blk.64.attn_v.weight (size = 4300800 bytes) -- ignoring
0.01.161.708 W model has unused tensor blk.64.attn_output.weight (size = 21626880 bytes) -- ignoring
0.01.161.709 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.01.161.711 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.01.161.712 W model has unused tensor blk.64.ffn_gate.weight (size = 47349760 bytes) -- ignoring
0.01.161.714 W model has unused tensor blk.64.ffn_down.weight (size = 61276160 bytes) -- ignoring
0.01.161.715 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.01.161.740 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.01.161.742 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.01.161.744 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.01.161.748 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.04.039.075 I cmn          init: llama threadpool init, n_threads = 32
0.04.080.094 I common_speculative_init_result: loading draft model '/home/francip/data/models/huggingface/mrchuy/Qwen3.8-27B-DFlash-drafter-bootstrap-GGUF/3c89ca499fa04f89a0b4b5ca9b5867953261db39/Qwen3.8-27B-DFlash-bootstrap-Q8_0.gguf'
0.04.617.784 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.04.617.786 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.04.617.786 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.04.808.500 I srv    load_model: loaded multimodal model, '/home/francip/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/mmproj-BF16.gguf'
0.04.840.294 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.04.840.303 I common_speculative_impl_draft_dflash: adding speculative implementation 'draft-dflash'
0.04.840.305 I common_speculative_impl_draft_dflash: - n_max=3, n_min=0, p_min=0.00
0.04.840.306 I common_speculative_impl_draft_dflash: - block_size=16, mask_token_id=248070, n_extract=5, sample_from_anchor=true
0.04.912.730 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.912.736 I srv  llama_server: model loaded
0.04.912.738 I srv  llama_server: listening on http://0.0.0.0:2053
1.18.216.888 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.18.217.363 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.21.846.301 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.07, t =   3.43 s / 2388.30 tokens per second
1.22.629.046 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.09, t =   4.21 s / 2431.77 tokens per second
1.23.424.681 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.11, t =   5.01 s / 2454.88 tokens per second
1.24.231.586 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.13, t =   5.81 s / 2466.46 tokens per second
1.25.053.499 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.15, t =   6.63 s / 2470.70 tokens per second
1.25.887.739 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.16, t =   7.46 s / 2469.23 tokens per second
1.26.734.344 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.18, t =   8.31 s / 2464.31 tokens per second
1.27.595.617 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.20, t =   9.17 s / 2456.87 tokens per second
1.28.469.764 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.22, t =  10.04 s / 2447.12 tokens per second
1.29.357.601 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.24, t =  10.93 s / 2436.04 tokens per second
1.29.558.976 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27100, progress = 0.24, t =  11.24 s / 2411.38 tokens per second
1.29.684.305 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27227, progress = 0.24, t =  11.44 s / 2380.21 tokens per second
1.30.596.656 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  29275, progress = 0.26, t =  12.17 s / 2406.20 tokens per second
1.31.522.131 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  31323, progress = 0.28, t =  13.09 s / 2392.88 tokens per second
1.32.473.679 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  33371, progress = 0.30, t =  14.04 s / 2377.37 tokens per second
1.33.447.267 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  35419, progress = 0.31, t =  15.01 s / 2359.55 tokens per second
1.34.447.371 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  37467, progress = 0.33, t =  16.01 s / 2340.52 tokens per second
1.35.471.207 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  39515, progress = 0.35, t =  17.03 s / 2320.46 tokens per second
1.36.514.866 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  41563, progress = 0.37, t =  18.07 s / 2299.84 tokens per second
1.37.575.759 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43611, progress = 0.39, t =  19.13 s / 2279.60 tokens per second
1.38.655.696 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45659, progress = 0.40, t =  20.21 s / 2259.31 tokens per second
1.39.751.625 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47707, progress = 0.42, t =  21.30 s / 2239.33 tokens per second
1.40.864.824 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49755, progress = 0.44, t =  22.42 s / 2219.62 tokens per second
