Aug 19 17:01:27 smarty run.sh[905909]: 10.53.439.186 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.253 (> 0.100 thold), f_keep = 0.253
Aug 19 17:01:28 smarty run.sh[905909]: 10.54.656.950 I slot launch_slot_: id  0 | task 45 | processing task, is_child = 0
Aug 19 17:01:32 smarty run.sh[905909]: 10.57.978.312 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  10240, progress = 0.12, t =   3.22 s / 3177.89 tokens per second
Aug 19 17:01:32 smarty run.sh[905909]: 10.58.735.883 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  12288, progress = 0.15, t =   3.95 s / 3107.47 tokens per second
Aug 19 17:01:33 smarty run.sh[905909]: 10.59.571.546 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  14336, progress = 0.17, t =   4.80 s / 2984.01 tokens per second
Aug 19 17:01:34 smarty run.sh[905909]: 11.00.298.438 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  16384, progress = 0.20, t =   5.54 s / 2959.44 tokens per second
Aug 19 17:01:35 smarty run.sh[905909]: 11.01.040.526 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  18432, progress = 0.22, t =   6.28 s / 2936.93 tokens per second
Aug 19 17:01:35 smarty run.sh[905909]: 11.01.797.101 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  20480, progress = 0.24, t =   7.03 s / 2913.71 tokens per second
Aug 19 17:01:36 smarty run.sh[905909]: 11.02.565.117 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  22528, progress = 0.27, t =   7.80 s / 2889.55 tokens per second
Aug 19 17:01:37 smarty run.sh[905909]: 11.03.347.486 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  24576, progress = 0.29, t =   8.58 s / 2865.35 tokens per second
Aug 19 17:01:38 smarty run.sh[905909]: 11.04.144.529 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  26624, progress = 0.32, t =   9.37 s / 2841.02 tokens per second
Aug 19 17:01:38 smarty run.sh[905909]: 11.04.338.580 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  27126, progress = 0.32, t =   9.60 s / 2826.62 tokens per second
Aug 19 17:01:39 smarty run.sh[905909]: 11.05.220.597 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =  29174, progress = 0.35, t =  10.44 s / 2793.80 tokens per second
